message,response
"Hi! It does look nice. The price seems a bit high for the unassembled bike, though. I would pay $25 cash and pick it up anywhere that would be convenient for you.","well we have two, one is assembled and the other is still sealed in the box, neither has been used before. id really like to try and get back close to what i paid for these. are you looking for one or for both?"
I was offering for only the unassembled one in the box.,"ok then, although they are no trouble at all to assemble, how does $37 sound?"
"still a bit high. would you take $30? every time I assemble something, it turns out to be difficult for me :)","$32 and you got a deal, we can even meet closer to where you live"
Hi can you tell me a little about the bike you are selling?,"It's a vintage, one of a kind. We actually had it assembled by hand with performance parts, it's definitely a special bike for enthusiats."
My son would love this bike! Are you willing to come down on the price at all?,"I'm willing to negotiate, but I don't have too much wiggle room on it."
"I would like to offer $300, how do you feel about that?",Can you meet me halfway on the price? $330 and I'll even throw in the spare tire I have for it.
At the price of $330 could you drop it off at my house for me?,"Sure, as long as you're local."
"Wow, that seems kind of expensive. And how much is the parking?",The parking is an extra fee of 150. I can give you the parking for free and the unit I can reduce to 1550.
How many square feet is the apartment?,It's 1100 square feet
"Well, what's the neighborhood like?","It's quiet, but a couple blocks down there's a small shopping center with a market and other stores."
"Well, I think the best I could do for an 1100 square foot apartment would be $750",750 is far too low.  It's going for 1583. 1440 with free parking
"Well, I'd really like to pay $949, but I'd be will to pay a little bit more if you can offer me some other perks.","Okay. Here's my final offer. Free parking, 1st month free, $100 deposit and $1300 for the unit. Sound good?"
"Yeah I'm super excited to finally get one, can you tell me about yours?","It's in great quality, though it's quite old and I'm not sure of the specs"
Well in that case I can't really offer that much for it,"That's fine, anything around 100-150 dollars would work"
hey there!,Can I answer any questions for you?
yes how many owners has this car had,I am the original owner on it.
I really want to buy this car for my boyfriend but I do not have the full amount I have $6250 cash right now,"I am sorry, but that is too low.  This has brand new tires and wheels with low miles.  Clean title and smogged ready.  All oil changes and tune ups have been up to date and maintained.  The lowest I could go is $10,000."
"I was bale to find a bit more money, i have $9550 can we meet half way",I could do that.  Deal.
"hello, I am very interested in the Oscilloscope that you have for sale","that's great, do you have any questions?"
"Well, I like the brand, but it is an older model.  I was wondering if you would take $300 for it?",i think the lowest I could do would be $350
"Hello, how are you today?",Good thanks. And you?
"Hello, what kind of phone does it come with?",It comes with a Samsung phone.
"yes, they make a few. What kind?",I am not sure. I only see what the ad has.
"Ok, we're supposed to be acting as if we're the buyer and seller so at this point you could look up or make up a phone",Galaxy S 3
"okay, your price is a bit high for an older model phone. Would you be willing to take 200?",200 is a bit too low. Would you be able to go up to 225 at least?
"Does the phone come with any accessories (charger, case, etc.)?",Yes it does. It comes with a SIM card and I will throw in the case and the charger at no additional cost.
Hello,"hi, are you interested in this outdoor set?"
"Yes, it looks great in the photo but the wood looks a bit discolored on top","yeah its been used quit a bit, we bought it years for ago for around $600"
What is the damage on the bench?,"one of the legs broke off, shouldnt be hard to fix"
"Alright , since it is teak and comes with 4 chairs I think I'd really like to come check this out. I have a truck and could pick it up tonight if that works for you. Would you consider taking $250 for it?",$250 sounds like a fair deal especially if you are picking it up
Nice bike what's the durability on it like?,The bike is very durable for long distances and rough terrain and does not have many miles on it.
Cool is this being sold with original tires?,They are new reynolds forty-six carbon wheels
Ok great can you sell for 3420?,Can we hit 3600? It's got a long life ahead of it!
Are you willing to deliver,Sure thing!
"Hi, how long have you owned the bunk beds?","About 2 years.  Our boys are growing so fast, that they already need new beds."
Are there any stains on the mattress?,Not a one.
Would you take $130?,"If you can pick them up today, absolutely!"
Im great how about you.,"I'm doing pretty good, I see that you might be interested in my hat rack?"
"I saw your hat rack is for sale, what condition is it in?",It is in great condition and is very sturdy and well build!
I can afford to spend $160 on it. Would you accept that?,"Yes that will be just fine, I will send you the offer!"
Hi how are you,I am great! How are you?
"Well, thank you. I see you're asking 50, but thats a little above my price range, how does $35 sound? I don't care for the collor red much",I also have orange available if you would prefer that. The lowest I can go is $45.
"I'll tell you what, $40 dollars for the orange, and if you deliver, we have a deal.","Ok, that works for me. How is noon on Thursday?"
I'll offer 800 bucks sight unseen,That's too low for me. I've put in some money to upgrade it. I'll counter with $1300.
$1050?,"It's got new brakes, tires, chains and hubs.  $1250."
1150 final offer,Sold!
Good evening. I'm very interested in the table you have for sale. Is it in good condition?,Good evening. Yes its in a good condition.
It's a little out of my price range. I'm looking to spend about $2700. That's only 10% lower than the price you have it listed for.,Well we can make that work! I want to get rid of it anyways. So this should be fine! Are you willing to come get it from me?
Hello.,Hello to you friend
"Yes, I'm interested in this dresser from your ad?","Well its a great set, the night stand is included with the price. Now I do need this picked up by Sat. will that work for you?"
"Well, the ad says it's missing a handle, is there anything else wrong with it?","It's true the handle is unattached, but as it also states the handle is with the dresser. There are a small number of beauty marks from regular use, but other the the handle, no noticeable damage."
"Well, I'm interested, but considering the need to repair the handle, I'd like to pay $75.","That is less than I paid for the night stand alone, that is unacceptable. If the handle is a concern, I can however lower the total price to 175."
"Well, I'd be willing to come pick it up, but I really couldn't go more than $110.","150 is my lowest price, or I can find another buyer"
"Well, okay, 150 it is.",agreed
hello is the phone still available?,yes it's still available. Are you interested?
Yes looking for a phone for my niece does it have any scratches,"You've come up upon the right ad. To answer your question, no there are no scratches, it's in great condition. I upgraded to an iphone 7 which is why I'm selling this one."
Ok I do not want to spend $135 on a phone for a 13 year old will you be willing to except $121?,"$121 is reasonable and I can understand, you have a point. I can cut you a deal"
amazing thanks!,no problem
I am interested in this. Its just wow. Can you tell me about its location?,Absolutely! It's on 3185 Garrity Way in Richmond. It's got beautiful views of the bay and is around a lot of community activites. You can find nature here and you're only 7 miles away from some giant shopping areas. It's the best of both worlds.
That's good and is it fully furnished?,These are partially furnished and fully renovated units.
Great. I am really interested but the price is just holding me back,I am willing to give you some wiggle room as long as it's reasonable. Also if you sign a longer lease agreement I can move the price down a bit.
Would you be willing to accept 2097?,I think we could easily make that work.
Great! So deal?,Yes! You've got yourself a deal. Enjoy!
Hi how much is the bike,It's $35
ok that seems fair i'd like to buy it,You're ok with the price then I take it?
yes its way cheaper than a new one would be and it looks like its in good condition,"Yes, it's in great condition. When will you be picking it up?"
"i could pick it up tomorrow morning, any time between 8 am and 12 pm. we live about 20 minutes away i think",That works great. Thanks. I'll accept the offer now.
"Yes, I am. Would you be willing to go $40 if I offer a small bookshelf as trade?","yes, that would be fine!"
I am. I see it was in an accident and has a salvage title though?,"Yea, that's why the asking price is so low. Right now first generation with 140k+ miles are like $5000 on craigslist, so i'm only asking $3200 for this second gen."
"I think that's still too high. I might be willing to do $2,500","Tell you what, There's a small tear in the ragtop, I'll have it re-upholstered like new for you, and do the sale for $3000, does that sound fair?"
Okay I can do that,Great
"Hello, I was interested in your DJI Phantom, Is this still available?",It sure is!  It's a great unit.  Easy to fly and many of the parts are still in the original box!
How firm are you on the $390? Would you be willing to go lower? I would like to get it soon.,I can't go too much lower.  What are you thinking?
Would you perhaps go say.. $350? I could come pick it up?,I'd be willing to split the difference and go with $370.  Are you paying cash?
I sure am. Would you perhaps do $360 and ill throw in a lawn mow for free?,"I really don't think I can pass that up.  If you're paying cash and mowing the lawn, I'll do the $350 just for you!"
"Awesome, Ill be there soon with my pet goats!",Oh man.... I'll be waiting!  ;)
Hi. I was wondering what all is included in the deal,well it includes an on stage micro audio speaker system and I am throwing in the batteries for free. it uses 4 triple A batteries
Thank you. I was also wondering if you would be willing to take a bit less for the speaker?,I'm asking $30 but would be willing. How much less?
Would $15 be ok? I would come and pick it up of course.,That's a bit low. i would take $20
What about $18?,ok I will take $18
I'm interested in the Ford Fusion you advertised.,It is a great car. It has been well maintained and is a hybrid so is great on gas.
Did you drive it for family occasions or work ?,Mostly for work. It just has a few cosmetic flaws.
"$7995 is more than I want to pay, but I am interested Would you be willing to take $5500?",Can we meet at $6000?
and i am looking for one.,"excellent! It's a 2008, just passed smog inspection.. super gas efficient"
how much are you selling it for?,4100
How about 3800?,"That's a bit lower than I was anticipating.. I've been getting it all super ready for you, even just changed the oil and filter. Really great tires, everything is up to date. Would 4000 be more acceptable to you?"
"It's an older model, I could probably fix it up and use it if I got it for the right price, how about $10?",That's too low for me. You could easily get over $100 if you parted it out.
"I looked on ebay, and there are just so many of them that they aren't selling for much. How about $15?","The fact there are so many is really a good thing. It creates demand for the parts. I could go $35, plus deliver it."
Hi there. How long have you lived in the Bay Area?,all my life
Same. Really excited about the big win for Golden State tonight. We're up 3-0 on the Cavs. Can ya believe it?,actually a cavs fan here
"Wow. Strange that you've lived in the Bay area your whole life and you're rooting for the Cavs, but I respect that hustle. Lets get down to business. I am looking to do a discount on this place. WHat's the best you can do for me?",1795
"Yes, I seen your Ad regarding the apartment in Hayward. Can you tell me a little more about it?",Its a large space apartment. Has been previously used as an artist studio. You can use it as an office as well. There is a kitchen and bathroom too. Its on the second floor. Its great place.
I'm looking for a living/working space and it seems perfect for me. But being it is upstairs I was wondering if you have a handicap ramp? My husband is disabled.,Yes we do have that.
"Perfect! I see you are asking for $2900 and I was wondering if you would take $2029 and I will sign a 1 year lease. Due to medical expenses for my husband, I am on a tight budget.",Well I will accept that. I would be more than happy to sell it to you who is in real need for her husband. We've got a deal then!
Hi I am very interested in the chair,This is a wonderful chair that is in great condition!
I see how comfortable is it for long periods of sitting?,It is so comfortable. This is one of the most comfortable chairs I have ever sat in.
I see well I do like the design whats your return policy,I will allow up to 30 day return if you are unhappy with it.
Ok Im willing to pay $360 for it.,That's a bit low for this. There are only 4 like this that are available.
ok how about $370 I like the chair but it is used and you also can't garuntee comfort,How about 400 and I'll deliver it myself?
how about 385 and I will meet you halfway,Deal.
Hello are you still selling the Settee?,"Yes, I am. I am asking 200 dollars for it, but I am willing to listen to offers and make a deal."
Sounds good. What does the wear and tear look like on it though? What kind of condition is it in?,"It is in good condition. There are no holes, or scratches."
How long have you had it for?,Only a year and have barely sat on it. It is like new.
Oh okay that's good. Could you come down on the price at all? I've seen some used ones going for a lot less.,Sure. How much would you like to pay for it?
Could you do it for 80?,How about 100 and I will deliver it to you myself?
Okay we have a deal!,Good
"I am interested in 1 bd apartment, What's the price? I assume the starting price is for a 3 bd right?","Hello, thanks for your interest. Starting price is $1625 for a one bedroom"
"Oh, that's really expensive although I can see it's luxurious and many amenities are includes. Are utilities included?","No they are not. Apologies, it's actually for a studio"
"This looks great, I am very interested in it!",THat's great! These Earpods are 25 dollars.
Would you except $20,That sounds fine!
Hi there. I am interesting in a bedroom to rent and i saw your post.,Well I have a 1 bedroom if you are interested. The rent is $2834.
Hey,I am offering the bike for $1000
"I was looking for a bike with all the original parts, but yours looks like it is in great condition.","Yes, all parts are original except for the break handles."
I offer 700 for the bike.,"I bought the bike very expensive, this is why I am selling for $1000. However, I can sell for $950"
OH I understand the issue. How about 850?,My last price is $900
"Hi, I'm interested in your digital speaker.",hey you'll love it
Hello. I have cash and am extremely interested in your bike.,Hello would you like to know more about it. It is vintage and I am throwing in my helmet as well
I have bee researching these bikes for a long time. You are above market value by about 30%. I appreciate the offer the helmet. I currently have one. Would you be willing to negotiate the price?,I can go down a few bucks but not to much. What are you willing to pay
How are the tires and tubes? Any cables or handles need to be replaced? Is the seat cracked? These will all affect my offer. Thanks for being willing to negotiate!,The tires are I  great shape. The seat is not cracked at all. And your welcome. I've had it for about 5 years. I bought a new one that is why I am getting rid of it
"Hello, you still have the beats?",Yes. interested?
I am. Are you willing to accept $122 for them?,They're pretty high demand. I might go as low as 160.
How about $150 and I pick them up and pay in cash today?,If you can pay 155 you have a deal.
You're pulling out of my gas money! $153 and it's a deal. i need gas to get there.,You drive a hard bargain. Okay then 153 it is.
Hello I am interested in your service. Am i able to call or text?,Sure you can. What questions do you have about this service?
What are your hours?,We are here from 11am to 7:30 pm every single day.
Would you take $30 for the service,30 dollars is a little too low. How bout we meet in the middle at 40 dollars?
how about 35?,35 can work. Wanna come by the store and learn more about it?
Yes!  Thank you!,"Alright, sounds good."
Hi! I am interested in your bike rack,Awesome! Do you have any questions?
Has it been used? It looks still sealed.,It has never been used before.
Awesome. I've been looking for one of these for quite awhile.,It is quite handy to have.
Would you take $40 if I pickup right away?,Hmm that's a little low. Would you be interested in $65 if I bring it to you?
Hi,Hi! How can I help you today?
I was hoping to get my phone flashed and see you offer this at or around 50?,Yes. I'd love to help you with that. I really would like to stick to fifty dollars.
I see do you guys add any extra stuff because I think the other carriers do the flash for like 40!,"Well, we offer great service and can get you in right away. Or we can even meet you somewhere."
Oh you guys can do house calls is that included in the 50 price?,Yes
Hi!,"I am interested in the apartment, does it come with parking ?"
HI!  I'm very interested in your hospital bed!  How old is it?,Not that old just a couple years old in excellent condition barely used.
Does the mattress have stains on it?,No the mattress in great condition very nice looking mattress.
Sounds nice!  Would you be willing to take $472 cash for it?  I can pick it up anytime that is convenient for you.,I can do $480 and I will deliver it to you right now free of charge.
I'd just like to know if you'd be open to negotiate the price for this.,"Yes I am willing to negoaite, we really need some new tentants to fill this property."
"Great. Well, the current listed price is a bit more than I am able to afford. How does $1261 sound to you?","$1261 is too low for my liking, you need to remeber all the utitlies are included in the monthly rent."
"Okay, then. How about 1800?",I can do $1800!
Hello!  Does this phone come with a case or screen protection?,No it doesn't but I would be happy to give you one. I can give you both for $280
Great...is the phone used?  How'sx the condition of the case?,"Its used but it is as new and the condition of the case is brand new. The phone is silver color and has 32 gig memory. I used it for a few months and then wanted to get a new one, so selling this one."
Is the Sprint contract in effect?  How long is left on it?,Yes its in effect and has about 2 years left
I like the phone but it is a bit above my budget.  How about $100 off and I'll pick it up with cash?,I can give it to you for $200 that's what I can do.
How about splitting the difference and I'll bring you a coupon for Starbucks?  $196?,I can last do only $200 that's all I can offer.
Okay...I can do that!,Great!
"Hi, I am interested in the car you have advertise","Okay, do you have any questions about it?"
What is the mechanical condition? Any issues with the interior? Any issues with paint? Why are you selling it?,"I'm selling it because I never drive it anymore, but it's in fine condition for a 12 year old car with 149,500 miles on it."
okay. No rips to the interior? Paint peeling?,"No, everything is in good shape."
"Okay. Being as there are no pics of inside, would you be willing to take 4300?","I couldn't go that low, I'd be willing to go down to $5500"
I could do 4700. Blue book and comps in the area say it should be around this.,"Well, remember this car is fully loaded with a leather interior and gps. I could go as low as $5000."
split the difference at 4850?,"Okay, if you agree to come pick it up, 4850 is acceptable."
I sure am. I have 2 small unicycles that my dog uses for tricks. How much?,How cute.  I'm asking 80 but because the finish is peeling a little bit I'll take 70
that is perfection. thank yoU! FLUFFY AND BONER WILL BE SO HAPPY!,We've got a deal.  Glad I could make them happy :)
"Hi , I am interested in your item for sale. It looks great in the photo, can you tell me about about how old it is and what condition it is in?",This wood antique that was made over 50 years ago is amazing and in perfect condition.
Are you the only owner?,Yes I am the only owner.
Well it sounds really great. If I can come buy to check it out right now would you be willing to take $50 cash for it?,I can do $60 and help you lift it on your truck.
Hello. Nice truck.,"Thanks, it is in excellent condition. It was my joy to take very good care of it."
how old are the tires?,"Got them changed two months ago, they're 26 x 1.95 inch Kenda Krossplus tires"
Was there a chain guard with the bike?,"No there isn't, she's an older gal."
Would you do fifty?,"I was planning on selling it for around $150, used to ride a lot and kept the bike well maintained. New job and everything so haven't really had the chance to ride anymore. Since the chain guard is missing I'd be happy to go down to $100"
"It would be just parts for me, $50 is all it is worth to me.",Eh afraid I can't do that. If you'd come pick it up I'd do $75 to save myself the hassle
"Hello, how old is  your couch?",it's a year old
cool and is it coming from a smoke and pet free home?,yes the couch is very comfortable
"Okay, one last question before we get to price. Is it an actual sofa bed or do you just have to put the pieces together like in that picture to make it a bed?",you can use for bed or couch
"Okay, so it doesn't pull out. That's cool, but the price is a bit much for me. How about $200 for it?",i will take $250 for this couch it turns into a bed is is worth every penny.
But it doesn't actually pull out into a bed. I'd have to push the pieces together which isn't what I was looking for. I'm still willing to take it off your hands though. How about $235 and I'll pick it up?,i will do the $235 if you can arrange to pick up.
Good afternoon. I'm interested in the bike you have for sale. Can you tell me about the condition?,It's in good condition except for one of the tires has some cracks in it.
"OK, I'm kind of on a budget, and based on the cracks on the tire, I'm looking to spend closer to $74.","The inner tube is completely new, and the cracks are pretty small. It should hold up for at least a couple years of intensive use. I want at least $125 for everything."
I can't go that high. I'm willing to pay $89 for it today.,"I can only do $89 for just the bike and none of the extras, and you pick it up."
Yes. Does it have any defects? Did any customers kick it?,"Nope. It's brand new. We're only selling it because we need the space for new stock. We are in such a hurry to get rid of it, we dropped the price to $1100."
"That's a bit much for me. Since you're so desperate to get rid of it, how about I take it off your hands for $500?",I'm not THAT desperate. I'm only interested in serious offers. How about $1000?
I am very serious. I can go up to $650. I the cash now and can pick it up in my truck whenever you have it ready,"$650 is insanely low. It looks great. Beautiful wood, gorgeous glass counter. We can deliver it no problem. How does $900 sound?"
Hello! I'm interested in your bike. Is it in good condition?,It is very good condition but the breaks do squeak a little sometimes.
Is it lightweight or more on a heavy side?,It is relatively lightweight and I have put on new cables and chain.
"Okay, I can come down to you today and pay $130 in cash and pick up the bike myself. What do you say?","Perfect, Do you think if we make it 120.00 you could bring me a coke.  So thirsty and would be so worth it to me."
Absolutely! We've a got a deal!,Awesome.
Hello. I notice there some wear on the back of the chairs. As such I offer 300,"it's barely noticeable, it looks like it was made on purpose, so I can let them go for no less than 400"
I understand that but I would still appreciate some discount for the damage. I will pick up the chairs in my trailer and pack them myself. You will only have to have them ready to go as is. Would you be willing to give me a little off for the damage and accept 380?,"I will accept 380 only if you get me a 12 pack of coors light, sounds fair to you ?"
My religious beliefs do not allow me to purchase alcohol. If you accept 390 you can grab some beer yourself with the extra ten!,fine we got a deal
I'm interesting in the home you have advertised for lease. What can you tell me about it?,Yes! The home is 3 bedroom/1 full bath in a lovely neighborhood. Perfect for raising a family! The exterior is red brick.
Have there been any upgrades on the property?  How old is it?,"The home was built in 2008, and it was renovated in the past six months after the initial tenant moved out. The home has all new hardwood flooring and new paints. All electrical checks are current."
$1595 is a little high for me. Would you be willing to take $1200?,I would! Please also expect a security deposit up to that amount depending on credit history.
"Hi,I am interested in your board!","Hi, do you have any questions?"
Do you know what wood it is made out of?,I do not know specifically but the brand is a gravity skateboard.
"The wheels seem nice on it, but they could be a beter quality. Would you accept 100 for the board?","No, that offer is too low. The board is pretty much brand new as it's been ridden only 4 or 5 times.  The bone bearings are brand new."
If I picked it up at your location would you accpet 120?,Make it 150 and we got a deal.
"I could do 145, if you can gurantee the painting on the front of the board is not scratched up.",Deal
Is the frame in good shape with no rust?,"yes, it was barely used in the guest room. so with the move coming we would love to not have to haul it."
nice stand you got there,Thank you. Are you interested in buying it?
definitely. but the price is a bit steep for me. would you do 100?,How about 115?
you're gonna deliver it to me? then i'll do 115. sure,Deal.
"hi, when was the last time it was serviced?","I had it serviced 4 months ago, complete tune up and overhaul. The engine sounds and runs great, even at 318,00 miles. The truck image itself is a little worse for wear."
"Will you take 4,800 for it?","That's a little less then what I was looking to get. I mean it's a great hustle truck and the 5 ton lift works great. Come on, at least offer $5000 and I'll toss in some white spray paint to get that graffiti off!"
"okay, throw in the paint and 5000 will work",Good deal!
I would love the bike!,"It's a good bike, but we don't need it anymore.  I have it listed for $40, but I could probably take $35."
"Hmm that sounds good, but is it new?","It's less than a year old, and in good shape."
Not bad at all! Does it come with anything?,I'll throw in the training wheels.
Great! 35 good?,Sounds good to me
Should I pick it up?,"Yeah, that's fine."
"hi there, I am very interested in the glass table but, the price does seem a bit high, is there any wiggle room?","I can negotiate, but I can't go much lower than 200"
could you do 150?,"I might go as low as 185, but that's about it probably."
"The highest I can give right now is 175 as long as you would help me load it onto my truck, I could come to you!",If you can come today with cash I'll give it to you for 180.
"Could you throw in a rope to tie it down to my truck? if so, I can do 180",I should be able to do that. Then we have a deal?
hello I am very interested in renting your house,Great. It is a great home.
Can you give me more details?  Is the home furnished?  Have any pets lived in the home?  Any ghosts?,No ghosts and no pets have been in the home.
"Ok I would like to move in today, I can offer you $1250 cash",The house is not available until tomorrow and 1250  won't even touch rent in this area.  The lowest I can go is $2000
Ok I can wait until tomorrow and I can offer $1300 cash and I will arrange to have all carpets shampooed and a deep clean done at the end of my lease,If you take care of the lawn too and I will have to turn off the security system.
It's a deal!  I will arrange for lawn service monthly.,Great
"I have been looking for this bike, it's sold out EVERYWHERE!",It is a super popular model! Do you have any questions?
has it been ridden at all?,Nope! I bought it for my son but he did not want the bike.
"yeah, most boys don't care for pink. but this will be for my daughter. Well, would you take $260 for the bike and i can pick it up today?","Pink! Dang my colorblindness, I thought it was red. If you'll pick it up I'm happy to do $260."
Hi. I'd like to buy the chair but I am not paying $60. What's the lowest you can do?,Hello I can sell it for $55 and offer you free delivery.
"I'm a college student on a budget. I appreciate the delivery offer but I can't do $55. Can you do, maybe $40?","No , I apologize. The chair is in great shape and made out of beautifully cow hide and it's well worth the price. The best I can do for you is $52. How is that?"
Still too much for me. If I pick it up or pay cash could you go lower?,I can go to $49 if you pick up. How is that?
I'll need a day or two to get the money but I think I can do $49. Is that okay? I really appreciate this.,Yea
Hi! I'm interested in the Motobecane Jubilee Sport you posted.,"Goodmorning! Hi, yes. Thanks for your interest. It's in great condition"
Then why aren't there any pictures of it?,In order to see it you would have to call
"Oh ok! Sorry, I didn't mean to presume anything. Would you be able to come down a bit on the price? I can pick it up in an hour for $200 cash.","Considering it's not too low of a price from what I'm asking, I am willing to accept $200 but must be picked up at the time you gave"
Hello. How are you today?,"Hi there. I'm good thanks, how about you?"
Where are you located?,Long Island
"Hi, I'm interested in your dining room table.","Great , its a nice table for a small space or an apartment kitchen."
Is it very sturdy? How many chairs fit around it?,It has four chairs and it is sturdy. THere are a couple of screws that need to be tightened up on the chairs. A simple fix.
Oh I see. Would you be willing to come down on the price since the chairs need some repair?,I could let it go for 40
Would you do $38? I have cash and could come get it tonight if you're available.,That would be great! See you tonight!
I'm intereseted in these speakers. How much are you asking for them?,i will sell it for 100
Have they been used or checked to see if they're in working order?,i checked every thing. it works fine and sound was amazing
How about $70? Would you do $70?,i have take care of your shipping too how about 85. i will delivery it to your address
"Ooo, that is a decent offer. I'd agree to that.",when will i get paid
Payment before item ships is standard.,deal
Hi - How are you?,I'm great thanks. Were you interested in the property
"Yes, I was interested in the property.  How much are you looking to get for rent?","The list price is at 1900, it is negotiable but that might mine sacrificing some ammenities..."
I was thinking of rent closer to $1725.  What can we do to get the price lower?,"Well, it is in an ideal location and has special architectural features that were quite expensive..."
"I agree with you about the location and architectural features; however, I think $1900 might be too steep of a price.  Can you do anything to get the price lower or maybe throw in some perks?  I'm interested in the apartment, but the price has to be right.","Ok, the hardwood floors were set to be refinished but if we skip doing that I don't see why we couldn't lower the price to around 1750"
hi,do you have a counter offer or is the price acceptable?
That depends.  Is the apartment furnished?,"it should be, if there is any request, we could take that into consideration"
Hi! I see you have a room for rent! I am very interested but ona budget since I am going to school as well. Would you be willing to rent it for $550?,"That's half of the price I set, so I'm afraid not."
"OK, well I do see that the utilities are included, but the room is still only 200 sf, and I need to be able to survive. I can do $650 at most",You're not going to find a place in this area this cheap with utilities included. Lowest I can do is $800.
Hello.,Hello!
hi. it's nice. Could you do it for 1950?,i could go down to 1900
okay.,ok so when would you like to meet
hi there,Hello! Are you interested in the house?
Yes I am. Can you give me some details about the location?,"It is very close to Val Vista park (within walking distance), and will give you easy access to 680 and 580."
that's great. And is it 4 bedroom house?,"Yes, 4 bedroom, 2 bath."
Hey there!,"Hello, You are interested in the Santa Cruz Blur correct? It is in practically like new condition. I am looking for $1400 for it. How does this work for you? Do we have a deal?"
$1300 and its sold. I will stop by in 2 hours with the money in cash. Would that work? It would help me out a lot!,I am pretty firm on the price.. They really dont make them like this anymore. But as long as youre coming this evening with cash I guess I could knock one hundred off for you.
"Hey there, nice phone you have here. How long have you had it?","Not long it's pretty much brand new. I'm asking 379 for it, are you interested? It's got great features, and I'm offering discounts for cash"
"Yeah, I have all cash, but I only have like 250 in cash. You're in Pleasanton? I'm in Livermore so it could work","Ok great, if you can scrounge up 300, we'll have a deal."
Hi. How are you?,"Good, thanks. So you are interested in flashing your phone?"
"I am. The only way I will be able to use this phone is to have it flashed, however, all I have is $50 and I have to buy diapers also this evening. The diapers are 22.97 and all I have is the remainder. Is there a way you could work with me somehow?",I could come down a little. Can you do $40?
I believe the service is valued at more than I have but if I do $40 I would not be able to afford my sons diapers as well. I believe your service is worth more and if I had it to offer I most definitely would,I am sorry to hear about your predicament. Could you buy a smaller pack of diapers and pay $30?
"He is a big boy and the only ones they have are the small pack and it is 22.97, if you can work with me with the last $3 I would be forever grateful and make sure to tell my friends what a wonderful service you provide","Okay, but tell your friends that you paid $50."
love the phone i'll take it,"Awesome, it really is a great phone."
how much 15,What about $18 and we have a deal
that works for me when can i pick it up,As soon as possible!
see you shortly thanks for the deal,thank you
"Hihi, looking to buy your listed car",Sounds good!  I am asking for $8800 for the vehicle
i have 500 in cash,500 sounds fair.
"Hi, I am interested in your filing cabinet. I am offering $50.","They are a great deal. The set will be $70 , they are in good condition and no scratches and black."
"Well, $70 is a bit too expensive for me. Surely, you can come down some, $60 is my best offer.",That sounds like a deal.
Hey! What kind of car is this? I don't see it in the description.,"Yes, I must have forgotten that. It's a Ford Focus."
"Awesome, I love Fords. It's a little out of my price range, though. Would you be willing to do a partial trade for some cash off? I have a yamaha dirt bike worth 1500 dollars. I would trade that and 1700 cash.",I need to get at least 2800
"huh, this looks pretty interesting, I have to ask though.. is the scanner color or in black and white?","Hello, I'm Bill. How are you today?"
doing good bill!  how are you?,"Fine, thanks! It is full color scanner"
"Hello, I am interested in your digital picture frame.",It is a really great frame. I think you will love it.
"Great, can I ask why you are trying to sell it?","I received one for a gift after I bought this, so I do not need 2 of them."
That makes sense. What color is the frame itself?,It is black.
"Perfect, I would be willing to pay $12, since brand new ones are $15.",I might be willing to go $15 since this one actually cost more than $15. It has added features that some do not have.
"Since it does have some additional features, I think I can swing $15.",Sounds great. Thank you for being a good buyer!
"Hello, how are you?","Hi, I want to sell these speakers. Thy're in great condition, never been opened in fact. I'm knocking $10 off the original price of $30. And, I'm good, thanks."
"$30 seems a bit high, as I've seen quite a few go for less on eBay. Would you consider $10?","I really wouldn't, I think you can throw in a few more dollars for a new item."
Even considering this is what they are selling for online?,"Yes, because then you have to pay for shipping. $13 and it's yours, that would be the shipping cost."
"I'll split the difference with you, and offer $11.50. If not, I'm sorry, but I think I'd be paying too much.","I'll do $11.50 just because I don't have the time to find another buyer, thanks."
Hello! I am very interested in this radio. How old is it?,Its not old at all. Its just newly made and very good looking!
I see it is missing a small trim piece. I really do like it. I would like to make an offer. Would you accept $22?,Yes of course! 22 sounds reasonable and fair amount to me. But you will have to come get it because its really heavy. So you can come pick it up then!
Okay! great! We have a deal!,Yes we do. Please let me know your details and we can go from there! Thanks for your business!
"Hello, I'm interested in your studio.",it is 1625 the deposit is included
Would you take $1000? I'd really love to take it.,How about 1400 and I'll still include the deposit
I appreciate including the deposit. Can we do $1250? I really can't go higher.,Are you senior citizen or US Active Military?
I am in fact a senior.,I will do 1250 but it will not include the deposit.  I will allow you to make payments on the deposit.
Wow this place actually looks pretty amazing! Can you tell me a little bit about the apartment?,"Sure.The apartment is located in Brentwood, a beautiful place near Mount Diable. It is located near a shopping center, schools, employment and recreation area. Also, it has everything you need from a fully equipped kitchen, high speed internet access, air conditioning, gas stove, and a 24 hour fitness center to name a few."
This is exactly what I'm in the market for! Are pets allowed? I have a giant alaskian husky,Yes! Anything else you wish to know?
Is the price negotialable? I can give you $1700 today and move in tomorrow.,I think we can work at that price. Thank you for your consideration. We are glad to welcome you to your new place!
Hello I am interested in your ipad. Could you give me more information about it?,Sure. Its 16GB and in a mint condition. It has a charger included
"That sounds great. The price is a little steep, would you be willing to come down a bit?",I have kept is as new. So I can give you for $180
That is still a bit high for me. Would you do $165? Is the case included?,The case is included. $165 is too low. I can do $170
"I will take it for $170 for the ipad, charger, and case.",That's a great deal then!
nice turck,Yea I know its been getting around for awhile now are you instrested in this beauty
